rank,match_score,job_title,company_name,location,seniority_level,employment_type,matching_points,gaps,posted_at,apply_url
1,56,AI ML Engineer (7+ Years),InApp,United States,Mid-Senior level,Full-time,"Matching skills: pytorch, ci/cd, embeddings, git, fine-tuning | AI/ML focused role | Seniority level matches experience",None identified,2026-02-08,https://inapp.com/jobs/ai-ml-engineer-7-years/
2,49,AI/ML Engineer,Jobs via Dice,"Phoenix, AZ",Mid-Senior level,Full-time,"Matching skills: pytorch, git, fine-tuning, prompt engineering, postgresql | AI/ML focused role | Seniority level matches experience",None identified,2026-02-07,https://click.appcast.io/t/e7MH8THoWi4JUmIv15Gw1VmQy9jYqzSDpK1WUQc-P-c=
3,46,Senior Healthcare Data Engineer(Fulltime Position),Jobs via Dice,"California, United States",Mid-Senior level,Full-time,"Matching skills: spark, ci/cd, postgresql, scala, pyspark | AI/ML focused role | Seniority level matches experience",None identified,2026-02-07,https://click.appcast.io/t/cix1cvbiWf8eWlx-chGiBmqoBMg93CZniRoG50pEgQI=
4,45,Senior Machine Learning Engineer II,Capital Rx,"Denver, CO",Mid-Senior level,Full-time,"Matching skills: rag, pytorch, scala, machine learning, nlp | AI/ML focused role | Seniority level matches experience",None identified,2026-02-07,https://job-boards.greenhouse.io/capitalrx/jobs/4749307008
5,45,Entry level AI/ML Engineer: SVL,Lensa,"San Jose, CA",Entry level,Full-time,"Matching skills: pytorch, git, transformer, fine-tuning, aws | AI/ML focused role | Cloud platform experience matches",None identified,2026-02-08,https://lensa.com/cgw/c32ec883215a4bb8864b083790bcba54tjo1?jpsi=directemployers_no_redirect&publisher_preference=easier_apply&utm_campaign=Computer%20Occupations&utm_medium=slot&utm_source=linkedin&utm_term=jse
6,45,Senior Machine Learning Engineer - Search (REMOTE),DICK'S Sporting Goods,United States,Mid-Senior level,Full-time,"Matching skills: pytorch, embeddings, git, transformer, aws | AI/ML focused role | Seniority level matches experience",None identified,2026-02-07,https://click.appcast.io/t/rPl8si2bJorsR2MvBJJZgKhFVtD8guwFPdDZD21MQ_OepJqr5NuoStXkVoL5ZNnD?source=LinkedIn
7,44,"Senior Machine Learning Engineer, Ad Platforms",The Walt Disney Company,"Seattle, WA",Mid-Senior level,Full-time,"Matching skills: computer vision, pytorch, scala, sql, machine learning | AI/ML focused role | Seniority level matches experience",None identified,2026-02-07,https://www.disneycareers.com/job/-/-/391/91457070816?source=LINKEDIN_JOB_SLOTS
8,44,AI/ML Engineer - Mission,"Tyto Athene, LLC","Reston, VA",Entry level,Full-time,"Matching skills: pytorch, ci/cd, git, fine-tuning, aws | AI/ML focused role | Cloud platform experience matches",None identified,2026-02-07,https://www.techcareers.com/job.asp?id=3152424282&aff=5F88FB33-7ECC-414D-823B-00B1224EBD09
9,44,AI / ML Engineer,Actalent,"Herndon, VA",Entry level,Contract,"Matching skills: pytorch, ci/cd, aws, postgresql, sql | AI/ML focused role | Cloud platform experience matches",None identified,2026-02-07,https://jsv3.recruitics.com/redirect?rx_cid=3374&rx_jobId=JP-005815676&rx_url=https%3A%2F%2Fars2.equest.com%2F%3Ficid%3Dlinkedin_recruitics%26response_id%3Dfeefb8689e771bc8f5f355f0d0dd15a0%26rx_campaign%3DLinkedin1%26rx_ch%3Dconnector%26rx_group%3D432887%26rx_id%3Db3d08cfb-03bc-11f1-964c-116cc565d99d%26rx_job%3DJP-005815676%26rx_medium%3Dpost%26rx_r%3Dnone%26rx_source%3DLinkedin%26rx_ts%3D20260208T061203Z%26rx_vp%3Dslots
10,44,AI / ML Engineer,Actalent,"Herndon, VA",Entry level,Contract,"Matching skills: pytorch, ci/cd, aws, postgresql, sql | AI/ML focused role | Cloud platform experience matches",None identified,2026-02-07,https://jsv3.recruitics.com/redirect?rx_cid=3374&rx_jobId=JP-005816449&rx_url=https%3A%2F%2Fars2.equest.com%2F%3Ficid%3Dlinkedin_recruitics%26response_id%3Db7e2182ebec4608be88dc816ffb3091c%26rx_campaign%3DLinkedin1%26rx_ch%3Dconnector%26rx_group%3D432887%26rx_id%3Dbb58585d-03bc-11f1-964c-49f73fddd4b9%26rx_job%3DJP-005816449%26rx_medium%3Dpost%26rx_r%3Dnone%26rx_source%3DLinkedin%26rx_ts%3D20260208T061203Z%26rx_vp%3Dslots
11,44,Security Data Science Engineer,Jobs via Dice,"San Francisco, CA",Entry level,Full-time,"Matching skills: spark, ci/cd, scala, mlops, sql | AI/ML focused role | Cloud platform experience matches",None identified,2026-02-08,https://click.appcast.io/t/NV33XeqHhEmuyYRblkUSUWyoKgxVjz5Cox7YEiovnC4=
